rec_id_l,given_name,surname,street_number_l,address_1_l,address_2_l,suburb_l,postcode_l,state_l,date_of_birth_l,soc_sec_id_l,rec_id_r,street_number_r,address_1_r,address_2_r,suburb_r,postcode_r,state_r,date_of_birth_r,soc_sec_id_r,surname_l,date_of_birth,surname_r,given_name_l,postcode,given_name_r,suburb,soc_sec_id,true_match,jaro_winkler_given_name,jaro_winkler_surname,levenshtein_given_name,levenshtein_surname,full_name_similarity,dob_l_dt,dob_r_dt,dob_exact_match,dob_year_match,dob_month_match,dob_day_diff,postcode_exact_match,suburb_exact_match,state_exact_match,address_similarity,soc_sec_exact_match,name_and_dob_score,address_score,ml_match_probability
rec-585-org,,,16.0,o'shanassy street,banksia village,,3130.0,tas,,7199358.0,rec-585-dup-0,16.0,o'shanassy street,,,3133.0,tas,,8561604.0,stephenson,1970-01-01,danny,danny,,stephenson,armidale,,1,0.43333333333333335,0.43333333333333335,0.09999999999999998,0.09999999999999998,0.7467948717948718,,,0,0,0,999.0,0,0,1,1.0,0,0.3733974358974359,0.3333333333333333,0.84
rec-1691-org,,,33.0,kingham place,killarney,,2135.0,wa,,7680717.0,rec-1691-dup-0,33.0,killarney,kingham place,,2135.0,wa,,3879701.0,quast,1970-01-01,,pascale,,pascajle,robertson,,1,0.975,0.0,0.875,0.0,0.9008547008547009,,,0,0,0,999.0,1,0,1,0.58005698005698,0,0.45042735042735044,0.6666666666666666,0.71
rec-4868-org,,,148.0,hayden close,hawkesbury natural health acupuncture ce,,3669.0,,,3597112.0,rec-4868-dup-0,148.0,haydenclose,hawkesbury natural health acupuncture ce,,3669.0,vic,,7104329.0,dreyer,1970-01-01,flynn,flynn,,dreyer,sanctuary point,,1,0.45555555555555555,0.45555555555555555,0.16666666666666663,0.16666666666666663,0.5444444444444444,,,0,0,0,999.0,1,0,0,0.9833333333333333,0,0.2722222222222222,0.3333333333333333,0.82
rec-14-org,,,60.0,archibald street,,,2025.0,wa,,9100106.0,rec-14-dup-0,60.0,tepper circuit,,,2025.0,wa,,9109106.0,lodge,1970-01-01,raquel,raquel,,garnett,balwyn north,,1,0.5317460317460317,0.45555555555555555,0.2857142857142857,0.16666666666666663,0.5317460317460317,,,0,0,0,999.0,1,0,1,0.4900793650793651,0,0.26587301587301587,0.6666666666666666,0.78
rec-3065-org,,,27.0,woolnough street,tintagel,,4558.0,nsw,,6788571.0,rec-3065-dup-0,27.0,ambalindum street,,,4558.0,nsw,,2465721.0,lowe,1970-01-01,robbie,robbie,,lowe,armidale,,1,0.611111111111111,0.611111111111111,0.33333333333333337,0.33333333333333337,0.5858585858585857,,,0,0,0,999.0,1,0,1,0.7377450980392157,0,0.2929292929292929,0.6666666666666666,0.72
rec-4193-org,,,1.0,clemenger street,ningana retirement,,810.0,nsw,,3207379.0,rec-4193-dup-0,1.0,clemengerstreet,ningana retkrement,,810.0,nws,,3139575.0,white,1970-01-01,jasmyn,jasmyn,,white,bomaderry,,1,0.0,0.0,0.0,0.0,0.3888888888888889,,,0,0,0,999.0,1,0,0,0.9874999999999999,0,0.19444444444444445,0.3333333333333333,0.83
rec-4697-org,,,119.0,maidment place,the sandys,,5075.0,vic,,2706283.0,rec-4697-dup-0,119.0,the sandys,maidment place,,5075.0,nsw,,2706283.0,mcneill,1970-01-01,mcneiwll,alexandra,,cooper,dungog,,1,0.5185185185185185,0.975,0.11111111111111116,0.875,0.6849673202614378,,,0,0,0,999.0,1,0,0,0.48571428571428577,1,0.3424836601307189,0.3333333333333333,0.88
rec-4689-org,,,244.0,,markool,williamstown,5259.0,vic,1970-01-01,,rec-4689-dup-0,244.0,,makrool,camp hill,5250.0,vic,1970-01-01,,stanley,,stanley,gus,,olivi,,1941202.0,1,0.0,1.0,0.0,1.0,0.7392191142191141,1970-01-01,1970-01-01,1,1,1,0.0,0,0,1,0.0,0,0.869609557109557,0.3333333333333333,0.64
rec-3983-org,,,277.0,,rose lane centre,glengowrie,2046.0,vic,1970-01-01,,rec-3983-dup-0,10.0,,rose lane entre,,2406.0,vic,1970-01-01,,paine,,paine,benjamin,,benjnin,,3571554.0,1,0.8880952380952382,1.0,0.75,1.0,0.9393772893772894,1970-01-01,1970-01-01,1,1,1,0.0,0,0,1,0.0,0,0.9696886446886447,0.3333333333333333,0.8
rec-636-org,,,63.0,wyles place,willows caravn park,gravesend,3135.0,vic,1970-01-01,,rec-636-dup-0,63.0,wyles place,willows caravn park,graveesnd,3153.0,vic,,,vaszocz,,adam,adam,,vaszocz,,1015197.0,1,0.46428571428571425,0.46428571428571425,0.1428571428571429,0.1428571428571429,0.6851851851851851,1970-01-01,,0,0,0,999.0,0,0,1,1.0,0,0.34259259259259256,0.3333333333333333,0.77
rec-311-org,,,2.0,cromwell circuit,pine view,ryde,4700.0,nsw,1970-01-01,,rec-311-dup-0,36.0,,pine view,rydd,4070.0,nsw,1970-01-01,,maier,,maier,noah,,,,4418189.0,1,0.0,1.0,0.0,1.0,0.8111111111111112,1970-01-01,1970-01-01,1,1,1,0.0,0,0,1,0.0,0,0.9055555555555557,0.3333333333333333,0.62
rec-3633-org,,,9.0,archdall street,boxwood hill,sandy bay,2484.0,nsw,1970-01-01,,rec-3633-dup-0,9.0,,,sandy bay,2484.0,nsw,,,sleath,,everett,ryleh,,ryleh,,1791300.0,1,1.0,0.5396825396825397,1.0,0.2857142857142857,0.8564102564102564,1970-01-01,,0,0,0,999.0,1,1,1,0.0,0,0.4282051282051282,1.0,0.88
